=== Courses offered for BTech CSE(core) ===

# University Core Courses - BTech CSE 2021

| Sl.No. | Basket Title | Course Code | Course Title | Course Type | Credits | Compulsory Course |
|--------|--------------|-------------|--------------|-------------|---------|-------------------|
| 1 | Clubs Basket for B.Tech 2021 | EXC1001 | Toast Masters Club | ECA | 2.0 | |
| 2 | Clubs Basket for B.Tech 2021 | EXC1002 | Dhwani - Theatre and Fine Arts Club | NCC | 2.0 | |
| 3 | Clubs Basket for B.Tech 2021 | EXC1003 | LIVIT - Health and Wellness Club | ECA | 2.0 | |
| 4 | Clubs Basket for B.Tech 2021 | EXC1004 | Music Club | ECA | 2.0 | |
| 5 | Clubs Basket for B.Tech 2021 | EXC1005 | Sports Club | ECA | 2.0 | |
| 6 | Clubs Basket for B.Tech 2021 | EXC1006 | Uddeshya VIT-AP | NCC | 2.0 | |
| 7 | Clubs Basket for B.Tech 2021 | EXC1007 | Quiz Club | NCC | 2.0 | |
| 8 | Clubs Basket for B.Tech 2021 | EXC1008 | The Gardening Club | ECA | 2.0 | |
| 9 | Clubs Basket for B.Tech 2021 | EXC1009 | MTT IEEE chapter | ECA | 2.0 | |
| 10 | Clubs Basket for B.Tech 2021 | EXC1010 | Comedy Club | NCC | 2.0 | |
| 11 | Clubs Basket for B.Tech 2021 | EXC1011 | Kannada Association | NCC | 2.0 | |
| 12 | Clubs Basket for B.Tech 2021 | EXC1012 | Do It Yourself (DIY) Club | NCC | 2.0 | |
| 13 | Clubs Basket for B.Tech 2021 | EXC1013 | IET Club | NCC | 2.0 | |
| 14 | Clubs Basket for B.Tech 2021 | EXC1014 | BIOSCOPE - Movie Making and Screening Club | NCC | 2.0 | |
| 15 | Clubs Basket for B.Tech 2021 | EXC1015 | Social Entrepreneurship Empowerment and Development Club | ECA | 2.0 | |
| 16 | Clubs Basket for B.Tech 2021 | EXC1016 | Beat the Heat - Dance Club | NCC | 2.0 | |
| 17 | Clubs Basket for B.Tech 2021 | EXC1017 | Run 4 a Cause Club | ECA | 2.0 | |
| 18 | Clubs Basket for B.Tech 2021 | EXC1018 | Adventure Club | ECA | 2.0 | |
| 19 | Clubs Basket for B.Tech 2021 | EXC1019 | Click n Flick Photography Club | NCC | 2.0 | |
| 20 | Clubs Basket for B.Tech 2021 | EXC1020 | Culinary Club | ECA | 2.0 | |
| 21 | Clubs Basket for B.Tech 2021 | EXC1021 | National Service Scheme (NSS) VIT-AP | NCC | 2.0 | |
| 22 | Clubs Basket for B.Tech 2021 | EXC1022 | Indian Classical Music Club | NCC | 2.0 | |
| 23 | Clubs Basket for B.Tech 2021 | EXC1023 | Western Music Club | NCC | 2.0 | |
| 24 | Clubs Basket for B.Tech 2021 | EXC1024 | News Paper club | NCC | 2.0 | |
| 25 | Clubs Basket for B.Tech 2021 | EXC1025 | Sanskriti Club | NCC | 2.0 | |
| 26 | Clubs Basket for B.Tech 2021 | EXC1026 | YouTuber Club | ECA | 2.0 | |
