=== Courses offered for BTech CSE(core) ===


## University Elective

| Sl.No. | Basket Title | Course Code | Course Title | Course Type | Credits |
|--------|--------------|-------------|--------------|-------------|---------|
| 1 | University Elective Basket of B.Tech. CSE - 2021 | CHY1005 | Industrial Chemistry for Engineers | TH | 3.0 |
| 2 | University Elective Basket of B.Tech. CSE - 2021 | CHY1006 | Corrosion Science and Engineering | TH | 3.0 |
| 3 | University Elective Basket of B.Tech. CSE - 2021 | CHY1007 | Energy Materials and Their Applications | TH | 3.0 |
| 4 | University Elective Basket of B.Tech. CSE - 2021 | CHY2001 | Chemical and Biosensors | TH | 3.0 |
| 5 | University Elective Basket of B.Tech. CSE - 2021 | CHY2002 | Organic Electronics | TH | 3.0 |
| 6 | University Elective Basket of B.Tech. CSE - 2021 | CSE1006 | Foundations for Data Analytics | ETL | 3.0 |
| 7 | University Elective Basket of B.Tech. CSE - 2021 | CSE1007 | Introduction to Cryptography | ETL | 4.0 |
| 8 | University Elective Basket of B.Tech. CSE - 2021 | CSE1018 | Cyber Physical System Security | ETP | 4.0 |
| 9 | University Elective Basket of B.Tech. CSE - 2021 | CSE2003 | Requirements Engineering Management | ETP | 4.0 |
| 10 | University Elective Basket of B.Tech. CSE - 2021 | CSE2009 | Soft Computing | ETP | 4.0 |
| 11 | University Elective Basket of B.Tech. CSE - 2021 | CSE2010 | Secure Coding | ETL | 4.0 |
| 12 | University Elective Basket of B.Tech. CSE - 2021 | CSE2011 | Cyber Security and Digital Forensics | ETL | 4.0 |
| 13 | University Elective Basket of B.Tech. CSE - 2021 | CSE2012 | Knowledge Representation and Reasoning | TH | 3.0 |
| 14 | University Elective Basket of B.Tech. CSE - 2021 | CSE2013 | Information Theory and Coding | TH | 4.0 |
| 15 | University Elective Basket of B.Tech. CSE - 2021 | CSE2025 | AWS Solution Architecture | TH | 3.0 |
| 16 | University Elective Basket of B.Tech. CSE - 2021 | CSE3002 | Artificial Intelligence | ETL | 4.0 |
| 17 | University Elective Basket of B.Tech. CSE - 2021 | CSE3011 | Network Programming | ETL | 4.0 |
| 18 | University Elective Basket of B.Tech. CSE - 2021 | CSE3018 | Software Configuration Management | TH | 3.0 |
| 19 | University Elective Basket of B.Tech. CSE - 2021 | CSE3019 | Software Quality and Reliability | TH | 3.0 |
| 20 | University Elective Basket of B.Tech. CSE - 2021 | CSE3020 | Product Definition and Validation | TH | 3.0 |
| 21 | University Elective Basket of B.Tech. CSE - 2021 | CSE4001 | Cloud Computing | TH | 3.0 |
| 22 | University Elective Basket of B.Tech. CSE - 2021 | CSE4002 | Mobile Application Development | ETL | 4.0 |
| 23 | University Elective Basket of B.Tech. CSE - 2021 | CSE4004 | Web Technologies | ETL | 4.0 |
| 24 | University Elective Basket of B.Tech. CSE - 2021 | CSE4005 | Data Warehousing and Data Mining | ETL | 4.0 |
| 25 | University Elective Basket of B.Tech. CSE - 2021 | CSE4007 | Digital Image Processing | ETL | 4.0 |
| 26 | University Elective Basket of B.Tech. CSE - 2021 | CSE4008 | Social Network Analysis | ETL | 4.0 |
| 27 | University Elective Basket of B.Tech. CSE - 2021 | CSE4011 | Internet of Things | ETP | 4.0 |
| 28 | University Elective Basket of B.Tech. CSE - 2021 | CSE4012 | UI UX User Experience Design | ETL | 4.0 |
| 29 | University Elective Basket of B.Tech. CSE - 2021 | CSE4016 | Database Administration | ETL | 4.0 |
| 30 | University Elective Basket of B.Tech. CSE - 2021 | CSE4019 | Applications of Artificial Intelligence | TH | 3.0 |
| 31 | University Elective Basket of B.Tech. CSE - 2021 | ECE1008 | Sensors and Control Systems | ETL | 4.0 |
| 32 | University Elective Basket of B.Tech. CSE - 2021 | ECE1010 | Probability and Random Processes | TH | 4.0 |
| 33 | University Elective Basket of B.Tech. CSE - 2021 | ECE2001 | Analog Devices and Circuits | ETL | 4.0 |
| 34 | University Elective Basket of B.Tech. CSE - 2021 | ECE2003 | Control Systems Engineering | ETL | 4.0 |
| 35 | University Elective Basket of B.Tech. CSE - 2021 | ECE2005 | Signals and Systems | TH | 4.0 |
| 36 | University Elective Basket of B.Tech. CSE - 2021 | ECE2007 | Digital Signal Processing | ETL | 4.0 |
| 37 | University Elective Basket of B.Tech. CSE - 2021 | ECE2009 | Data Acquisition and Transmission Systems | ETL | 4.0 |
| 38 | University Elective Basket of B.Tech. CSE - 2021 | ECE2014 | Microprocessors and Microcontrollers | ETL | 4.0 |
| 39 | University Elective Basket of B.Tech. CSE - 2021 | ECE3001 | Linear Integrated Circuits and Applications | ETL | 4.0 |
| 40 | University Elective Basket of B.Tech. CSE - 2021 | ECE3006 | HDL Verification and Methodology | ETL | 4.0 |
| 41 | University Elective Basket of B.Tech. CSE - 2021 | ECE3007 | Electrical Machines Modeling and Control | ETL | 4.0 |
| 42 | University Elective Basket of B.Tech. CSE - 2021 | ECE3018 | IoT Fundamentals | ETLP | 4.0 |
| 43 | University Elective Basket of B.Tech. CSE - 2021 | ECE4004 | Automotive Electrical and Electronic Systems | TH | 4.0 |
| 44 | University Elective Basket of B.Tech. CSE - 2021 | ECE4018 | Image Analysis and Computer Vision | ETL | 4.0 |
| 45 | University Elective Basket of B.Tech. CSE - 2021 | ENG1015 | Introduction to 20th Century European Literature in Translation | TH | 3.0 |
| 46 | University Elective Basket of B.Tech. CSE - 2021 | ENG1016 | Climate Fiction- Narratives to Save the World! | TH | 3.0 |
| 47 | University Elective Basket of B.Tech. CSE - 2021 | ENG1017 | Film Appreciation | TH | 3.0 |
| 48 | University Elective Basket of B.Tech. CSE - 2021 | ENG1018 | Introduction to Fashion and Technology | TH | 3.0 |
| 49 | University Elective Basket of B.Tech. CSE - 2021 | ENG1019 | Introduction to Storytelling in Business & Entrepreneurship | TH | 3.0 |
| 50 | University Elective Basket of B.Tech. CSE - 2021 | ENG2011 | Revisiting Shakespearean Dramas | TH | 3.0 |
| 51 | University Elective Basket of B.Tech. CSE - 2021 | ENG2012 | Stories Retold: Reading Cinema | TH | 3.0 |
| 52 | University Elective Basket of B.Tech. CSE - 2021 | ENG2013 | Cross-Cultural Communication Skills for Global Interaction | TH | 3.0 |
| 53 | University Elective Basket of B.Tech. CSE - 2021 | ENG2014 | Decoding Television in the Digital Age | TH | 3.0 |
| 54 | University Elective Basket of B.Tech. CSE - 2021 | ENG3001 | Introduction to Translation Studies | TH | 3.0 |
